,Start_Date,End_Date,Port_Return,Benchmark_Return,Port_Return_Ann,Benchmark_Return_Ann,Port_1yr_Drawdown,Benchmark_1yr_Drawdown
0,2001-03-14,2003-04-15,-17.72%,-23.69%,-8.92%,-12.15%,-22.47%,-34.79%
1,2001-03-14,2003-08-13,-13.95%,-15.82%,-6.03%,-6.88%,-22.47%,-34.79%
2,2001-03-14,2003-12-11,-5.78%,-8.26%,-2.15%,-3.09%,-22.47%,-34.79%
3,2001-03-14,2004-04-08,-0.72%,-2.79%,-0.24%,-0.92%,-22.47%,-34.79%
4,2001-03-14,2004-08-06,-10.24%,-9.18%,-3.13%,-2.79%,-22.47%,-34.79%
5,2001-03-14,2004-12-03,2.17%,1.36%,0.58%,0.36%,-22.47%,-34.79%
6,2001-03-14,2005-04-04,3.07%,-0.02%,0.75%,-0.0%,-22.47%,-34.79%
7,2001-03-14,2005-08-02,8.09%,5.73%,1.79%,1.28%,-22.47%,-34.79%
8,2001-03-14,2005-11-30,8.66%,6.6%,1.78%,1.36%,-22.47%,-34.79%
9,2001-03-14,2006-03-30,14.48%,10.33%,2.72%,1.97%,-22.47%,-34.79%
10,2001-03-14,2006-07-28,17.19%,8.78%,3.0%,1.58%,-22.47%,-34.79%
11,2001-03-14,2006-11-24,26.62%,19.29%,4.23%,3.14%,-22.47%,-34.79%
12,2001-03-14,2007-03-23,31.32%,21.88%,4.62%,3.34%,-22.47%,-34.79%
13,2001-03-14,2007-07-23,37.9%,30.87%,5.18%,4.32%,-22.47%,-34.79%
14,2001-03-14,2007-11-20,25.41%,22.94%,3.44%,3.14%,-22.47%,-34.79%
15,2001-03-14,2008-03-19,16.02%,10.77%,2.14%,1.47%,-22.47%,-34.79%
16,2001-03-14,2008-07-17,16.02%,6.42%,2.04%,0.85%,-22.47%,-34.79%
17,2001-03-14,2008-11-14,16.02%,-26.37%,1.95%,-3.91%,-22.47%,-45.72%
18,2001-03-14,2009-03-13,16.02%,-35.33%,1.87%,-5.3%,-22.47%,-52.39%
19,2001-03-14,2009-07-10,16.64%,-25.24%,1.87%,-3.43%,-22.47%,-52.39%
20,2001-03-14,2009-11-09,42.81%,-6.87%,4.2%,-0.82%,-22.47%,-52.39%
21,2001-03-14,2010-03-09,50.43%,-2.71%,4.65%,-0.31%,-22.47%,-52.39%
22,2001-03-14,2010-07-07,38.76%,-9.81%,3.58%,-1.1%,-22.47%,-52.39%
23,2001-03-14,2010-11-04,44.69%,3.92%,3.9%,0.4%,-22.47%,-52.39%
24,2001-03-14,2011-03-04,57.18%,12.6%,4.64%,1.2%,-22.47%,-52.39%
25,2001-03-14,2011-07-01,60.48%,13.83%,4.7%,1.26%,-22.47%,-52.39%
26,2001-03-14,2011-10-28,38.84%,9.31%,3.14%,0.84%,-22.47%,-52.39%
27,2001-03-14,2012-02-27,39.91%,16.58%,3.11%,1.41%,-22.47%,-52.39%
28,2001-03-14,2012-06-26,33.96%,12.18%,2.62%,1.02%,-22.47%,-52.39%
29,2001-03-14,2012-10-24,40.98%,19.86%,3.0%,1.57%,-22.47%,-52.39%
30,2001-03-14,2013-02-21,48.75%,27.85%,3.38%,2.08%,-22.47%,-52.39%
31,2001-03-14,2013-06-21,57.36%,35.21%,3.76%,2.49%,-22.47%,-52.39%
32,2001-03-14,2013-10-18,76.09%,48.23%,4.59%,3.17%,-22.47%,-52.39%
33,2001-03-14,2014-02-14,88.01%,56.41%,5.0%,3.52%,-22.47%,-52.39%
34,2001-03-14,2014-06-16,95.35%,65.14%,5.18%,3.85%,-22.47%,-52.39%
35,2001-03-14,2014-10-14,89.14%,59.54%,4.8%,3.5%,-22.47%,-52.39%
36,2001-03-14,2003-08-13,-13.95%,-15.82%,-6.03%,-6.88%,-22.47%,-34.79%
37,2001-03-14,2003-12-11,-5.78%,-8.26%,-2.15%,-3.09%,-22.47%,-34.79%
38,2001-03-14,2004-04-08,-0.72%,-2.79%,-0.24%,-0.92%,-22.47%,-34.79%
39,2001-03-14,2004-08-06,-10.24%,-9.18%,-3.13%,-2.79%,-22.47%,-34.79%
40,2001-03-14,2004-12-03,2.17%,1.36%,0.58%,0.36%,-22.47%,-34.79%
41,2001-03-14,2005-04-04,3.07%,-0.02%,0.75%,-0.0%,-22.47%,-34.79%
42,2001-03-14,2005-08-02,8.09%,5.73%,1.79%,1.28%,-22.47%,-34.79%
43,2001-03-14,2005-11-30,8.66%,6.6%,1.78%,1.36%,-22.47%,-34.79%
44,2001-03-14,2006-03-30,14.48%,10.33%,2.72%,1.97%,-22.47%,-34.79%
45,2001-03-14,2006-07-28,17.19%,8.78%,3.0%,1.58%,-22.47%,-34.79%
46,2001-03-14,2006-11-24,26.62%,19.29%,4.23%,3.14%,-22.47%,-34.79%
47,2001-03-14,2007-03-23,31.32%,21.88%,4.62%,3.34%,-22.47%,-34.79%
48,2001-03-14,2007-07-23,37.9%,30.87%,5.18%,4.32%,-22.47%,-34.79%
49,2001-03-14,2007-11-20,25.41%,22.94%,3.44%,3.14%,-22.47%,-34.79%
50,2001-03-14,2008-03-19,16.02%,10.77%,2.14%,1.47%,-22.47%,-34.79%
51,2001-03-14,2008-07-17,16.02%,6.42%,2.04%,0.85%,-22.47%,-34.79%
52,2001-03-14,2008-11-14,16.02%,-26.37%,1.95%,-3.91%,-22.47%,-45.72%
53,2001-03-14,2009-03-13,16.02%,-35.33%,1.87%,-5.3%,-22.47%,-52.39%
54,2001-03-14,2009-07-10,16.64%,-25.24%,1.87%,-3.43%,-22.47%,-52.39%
55,2001-03-14,2009-11-09,42.81%,-6.87%,4.2%,-0.82%,-22.47%,-52.39%
56,2001-03-14,2010-03-09,50.43%,-2.71%,4.65%,-0.31%,-22.47%,-52.39%
57,2001-03-14,2010-07-07,38.76%,-9.81%,3.58%,-1.1%,-22.47%,-52.39%
58,2001-03-14,2010-11-04,44.69%,3.92%,3.9%,0.4%,-22.47%,-52.39%
59,2001-03-14,2011-03-04,57.18%,12.6%,4.64%,1.2%,-22.47%,-52.39%
60,2001-03-14,2011-07-01,60.48%,13.83%,4.7%,1.26%,-22.47%,-52.39%
61,2001-03-14,2011-10-28,38.84%,9.31%,3.14%,0.84%,-22.47%,-52.39%
62,2001-03-14,2012-02-27,39.91%,16.58%,3.11%,1.41%,-22.47%,-52.39%
63,2001-03-14,2012-06-26,33.96%,12.18%,2.62%,1.02%,-22.47%,-52.39%
64,2001-03-14,2012-10-24,40.98%,19.86%,3.0%,1.57%,-22.47%,-52.39%
65,2001-03-14,2013-02-21,48.75%,27.85%,3.38%,2.08%,-22.47%,-52.39%
66,2001-03-14,2013-06-21,57.36%,35.21%,3.76%,2.49%,-22.47%,-52.39%
67,2001-03-14,2013-10-18,76.09%,48.23%,4.59%,3.17%,-22.47%,-52.39%
68,2001-03-14,2014-02-14,88.01%,56.41%,5.0%,3.52%,-22.47%,-52.39%
69,2001-03-14,2014-06-16,95.35%,65.14%,5.18%,3.85%,-22.47%,-52.39%
70,2001-03-14,2014-10-14,89.14%,59.54%,4.8%,3.5%,-22.47%,-52.39%
71,2001-03-14,2003-12-11,-5.78%,-8.26%,-2.15%,-3.09%,-22.47%,-34.79%
72,2001-03-14,2004-04-08,-0.72%,-2.79%,-0.24%,-0.92%,-22.47%,-34.79%
73,2001-03-14,2004-08-06,-10.24%,-9.18%,-3.13%,-2.79%,-22.47%,-34.79%
74,2001-03-14,2004-12-03,2.17%,1.36%,0.58%,0.36%,-22.47%,-34.79%
75,2001-03-14,2005-04-04,3.07%,-0.02%,0.75%,-0.0%,-22.47%,-34.79%
76,2001-03-14,2005-08-02,8.09%,5.73%,1.79%,1.28%,-22.47%,-34.79%
77,2001-03-14,2005-11-30,8.66%,6.6%,1.78%,1.36%,-22.47%,-34.79%
78,2001-03-14,2006-03-30,14.48%,10.33%,2.72%,1.97%,-22.47%,-34.79%
79,2001-03-14,2006-07-28,17.19%,8.78%,3.0%,1.58%,-22.47%,-34.79%
80,2001-03-14,2006-11-24,26.62%,19.29%,4.23%,3.14%,-22.47%,-34.79%
81,2001-03-14,2007-03-23,31.32%,21.88%,4.62%,3.34%,-22.47%,-34.79%
82,2001-03-14,2007-07-23,37.9%,30.87%,5.18%,4.32%,-22.47%,-34.79%
83,2001-03-14,2007-11-20,25.41%,22.94%,3.44%,3.14%,-22.47%,-34.79%
84,2001-03-14,2008-03-19,16.02%,10.77%,2.14%,1.47%,-22.47%,-34.79%
85,2001-03-14,2008-07-17,16.02%,6.42%,2.04%,0.85%,-22.47%,-34.79%
86,2001-03-14,2008-11-14,16.02%,-26.37%,1.95%,-3.91%,-22.47%,-45.72%
